"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 12:32:34 IDT 2020","Wed Jun 03 12:32:35 IDT 2020","452","Suite","Electron Tests","SanityTests.electronDemo","SanityTests.electronDemo","test02_versionVeriffication","Test02: Verify Application Version Number ","Test Description: Getting the Version number from App and verify it"
"skipped","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.mortageMobile","SanityTests.mortageMobile","test01_verifyRepayment","Test01: Verify Mortgage","Test Description: Fill in Mortgage fields and calculate repayment"
"broken","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.mortageMobile","SanityTests.mortageMobile","startSession","startSession",""
"skipped","Wed Jun 03 12:29:20 IDT 2020","Wed Jun 03 12:29:20 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.electronDemo","SanityTests.electronDemo","test02_versionVeriffication","Test02: Verify Application Version Number ","Test Description: Getting the Version number from App and verify it"
"skipped","Wed Jun 03 14:38:03 IDT 2020","Wed Jun 03 14:38:03 IDT 2020","6","Default Suite","FullStackfinalProject-master","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test01_addition","Test01: Verify Addiction Command","Test Description: Verify addition command in calculator"
"broken","Tue Jun 09 19:15:12 IDT 2020","Tue Jun 09 19:15:12 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","startSession","startSession",""
"passed","Tue Jun 09 19:35:56 IDT 2020","Tue Jun 09 19:35:57 IDT 2020","883","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test02_verifyDefaultUsers","Test02: Verify Default Users","Test Description: Verifies the Default Number of Users (Should be 1)"
"passed","Wed Jun 03 11:45:08 IDT 2020","Wed Jun 03 11:45:10 IDT 2020","2902","Suite","API Tests","SanityTests.grafanaAPI","SanityTests.grafanaAPI","test02_addTeamAndVerify","Test01: Add Team And Verify","Test Description: Add Team to Grafana And Verify it"
"skipped","Wed Jun 03 14:38:03 IDT 2020","Wed Jun 03 14:38:03 IDT 2020","1","Default Suite","FullStackfinalProject-master","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test02_subtraction","Test02: Verify Subtraction Command","Test Description: Verify subtraction command in calculator"
"passed","Wed Jun 03 13:27:04 IDT 2020","Wed Jun 03 13:27:11 IDT 2020","7406","Suite","Mobile Tests","SanityTests.mortageMobile","SanityTests.mortageMobile","test01_verifyRepayment","Test01: Verify Mortgage","Test Description: Fill in Mortgage fields and calculate repayment"
"broken","Wed Jun 03 10:08:02 IDT 2020","Wed Jun 03 10:08:02 IDT 2020","1","Default Suite","FullStackfinalProject-master","SanityTests.grafanaAPI","SanityTests.grafanaAPI","startSession","startSession",""
"skipped","Wed Jun 03 16:01:22 IDT 2020","Wed Jun 03 16:01:22 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifyAvatar","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
"skipped","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.grafanaAPI","SanityTests.grafanaAPI","test03_updateTeamAndVerify","Test02: Add Team And Verify","Test Description: UpdateTeam in Grafana And Verify it"
"broken","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","Helpers.visualTesting","Helpers.visualTesting","startSession","startSession",""
"passed","Wed Jun 03 14:48:48 IDT 2020","Wed Jun 03 14:48:53 IDT 2020","5377","Suite","Desktop Tests","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test01_addition","Test01: Verify Addiction Command","Test Description: Verify addition command in calculator"
"skipped","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","Helpers.visualTesting","Helpers.visualTesting","createScreenShot","createScreenShot",""
"passed","Wed Jun 03 10:11:22 IDT 2020","Wed Jun 03 10:11:23 IDT 2020","1171","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test04_deleteAndVerifyUsers","Test04: Delete Last User and Verify Users","Test Description: Delete Last Created User and Verify the Number os Users is 1"
"passed","Tue Jun 09 19:35:57 IDT 2020","Tue Jun 09 19:36:00 IDT 2020","2833","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test03_addAndverifyUsers","Test03: Add and Verify Users","Test Description: Add a New User and Verify the Number of Users is 2"
"passed","Wed Jun 03 14:48:59 IDT 2020","Wed Jun 03 14:49:05 IDT 2020","6076","Suite","Desktop Tests","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test03_calculateMultiply","Test03: Verify Multiply Command","Test Description: Verify multiply command in calculator"
"passed","Wed Jun 03 10:11:23 IDT 2020","Wed Jun 03 10:11:25 IDT 2020","1249","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test05_verifyAvatar","Test05: verify Avatar","Test Description: Verify Grafana's default (admin) avatar"
"passed","Wed Jun 03 12:32:34 IDT 2020","Wed Jun 03 12:32:34 IDT 2020","683","Suite","Electron Tests","SanityTests.electronDemo","SanityTests.electronDemo","test01_login","Test01: Verify Screen Resolution ","Test Description: Getting the Resolution from App and verify it"
"broken","Wed Jun 03 14:38:03 IDT 2020","Wed Jun 03 14:38:03 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","startSession","startSession",""
"skipped","Wed Jun 03 12:29:20 IDT 2020","Wed Jun 03 12:29:20 IDT 2020","2","Default Suite","FullStackfinalProject-master","SanityTests.electronDemo","SanityTests.electronDemo","test01_login","Test01: Verify Screen Resolution ","Test Description: Getting the Resolution from App and verify it"
"broken","Wed Jun 03 16:05:21 IDT 2020","Wed Jun 03 16:05:21 IDT 2020","421","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifynewFolder","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
"passed","Wed Jun 03 10:11:19 IDT 2020","Wed Jun 03 10:11:20 IDT 2020","582","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test02_verifyDefaultUsers","Test02: Verify Default Users","Test Description: Verifies the Default Number of Users (Should be 1)"
"passed","Tue Jun 09 19:36:10 IDT 2020","Tue Jun 09 19:36:12 IDT 2020","1984","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test07_verifyDashBoard","Test07: verify creation of dashboard and visual","Test Description: verify creation of dashboard and visual"
"passed","Wed Jun 03 10:48:56 IDT 2020","Wed Jun 03 10:48:58 IDT 2020","1583","Default Suite","FullStackfinalProject-master","SanityTests.grafanaAPI","SanityTests.grafanaAPI","test02_addTeamAndVerify","Test01: Add Team And Verify","Test Description: Add Team to Grafana And Verify it"
"skipped","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","1","Default Suite","FullStackfinalProject-master","SanityTests.grafanaAPI","SanityTests.grafanaAPI","test04_deleteTeamAndVerify","Test03: Delete Team And Verify","Test Description: Delete Team in Grafana And Verify it"
"passed","Tue Jun 09 19:36:03 IDT 2020","Tue Jun 09 19:36:06 IDT 2020","2604","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test05_verifyAvatar","Test05: verify Avatar","Test Description: Verify Grafana's default (admin) avatar"
"broken","Wed Jun 03 12:29:20 IDT 2020","Wed Jun 03 12:29:20 IDT 2020","2","Default Suite","FullStackfinalProject-master","SanityTests.electronDemo","SanityTests.electronDemo","startSession","startSession",""
"passed","Wed Jun 03 10:11:20 IDT 2020","Wed Jun 03 10:11:22 IDT 2020","1515","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test03_addAndverifyUsers","Test03: Add and Verify Users","Test Description: Add a New User and Verify the Number of Users is 2"
"passed","Tue Jun 09 19:35:51 IDT 2020","Tue Jun 09 19:35:55 IDT 2020","4007","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test01_login","Test01: Login to Grafana","Test Description: Loging to Grafana Web Appliccation"
"passed","Tue Jun 09 19:36:00 IDT 2020","Tue Jun 09 19:36:03 IDT 2020","2262","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test04_deleteAndVerifyUsers","Test04: Delete Last User and Verify Users","Test Description: Delete Last Created User and Verify the Number os Users is 1"
"passed","Wed Jun 03 14:48:54 IDT 2020","Wed Jun 03 14:48:59 IDT 2020","4820","Suite","Desktop Tests","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test02_subtraction","Test02: Verify Subtraction Command","Test Description: Verify subtraction command in calculator"
"broken","Wed Jun 03 11:53:23 IDT 2020","Wed Jun 03 11:53:23 IDT 2020","1","Suite","Electron Tests","SanityTests.electronDemo","SanityTests.electronDemo","startSession","startSession",""
"passed","Tue Jun 09 19:36:07 IDT 2020","Tue Jun 09 19:36:09 IDT 2020","2807","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifyNewFolder","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
"passed","Wed Jun 03 10:11:17 IDT 2020","Wed Jun 03 10:11:19 IDT 2020","1993","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test01_login","Test01: Login to Grafana","Test Description: Loging to Grafana Web Appliccation"
"skipped","Tue Jun 09 19:15:12 IDT 2020","Tue Jun 09 19:15:12 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifyNewFolder","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
"broken","Wed Jun 03 15:58:50 IDT 2020","Wed Jun 03 15:58:51 IDT 2020","808","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifyAvatar","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
"broken","Wed Jun 03 14:10:48 IDT 2020","Wed Jun 03 14:10:48 IDT 2020","5","Suite","Web Tests","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","startSession","startSession",""
